index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
0,웹디자인&퍼블리셔 구직자과정,세잔IT직업전문학교,123,4158060,30,94.1,25.0,08_문화 예술 디자인 방송,웹디자인
1,시각편집디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,29.0,08_문화 예술 디자인 방송,포토샵
2,"그래픽실무(포토샵,일러스트,인디자인)",배움회계캐드컴퓨터학원,30,674280,10,43.6,,08_문화 예술 디자인 방송,포토샵
3,디자인편집과영상그래픽편집,배움회계캐드컴퓨터학원,50,1123800,10,43.6,29.0,08_문화 예술 디자인 방송,영상
4,"환경디자인 실내건축전문가(캐드, 맥스, 스케치업)",이젠아카데미,75,3371400,20,66.7,25.0,08_문화 예술 디자인 방송,
5,그래픽디자인자격증취득(GTQ-포토샵1/일러스트1급/인디자인1급 ),크린컴퓨터학원,35,872340,10,35.6,30.0,08_문화 예술 디자인 방송,포토샵
6,웹퍼블리셔(웹디자인)UI/UX 프론트앤드 양성과정,더조은퍼스트컴퓨터바리스타학원,95,4270440,20,63.0,26.0,08_문화 예술 디자인 방송,웹디자인
7,"게임그래픽(원화,모델링,애니메이션,이펙트)실무자 양성",하이미디어컴퓨터학원,84,4174770,22,46.7,26.0,08_문화 예술 디자인 방송,게임
8,디지털디자인(웹&멀티미디어) 양성,(주)탑디자인학원,40,899040,10,55.4,25.0,08_문화 예술 디자인 방송,멀티미디어
9,시각디자인B,(재)이찬 경남직업능력개발원,115,4495200,22,61.8,,08_문화 예술 디자인 방송,시각디자인
10,UI/UX 웹디자인(웹퍼블리셔),하이미디어IT융합인재개발원,99,4270440,20,63.6,26.0,08_문화 예술 디자인 방송,웹디자인
11,UI/UX 디자인(웹퍼블리셔),더조은아카데미,92,3596160,20,60.3,22.0,08_문화 예술 디자인 방송,
12,과정평가형 웹디자인기능사,인천직업능력교육원,91,3579303,30,70.4,29.0,08_문화 예술 디자인 방송,웹디자인
13,포토샵&영상편집(프리미어/에펙),윤성회계캐드컴퓨터학원,30,674280,15,40.5,39.0,08_문화 예술 디자인 방송,포토샵
14,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,110700,500,33.3,39.0,08_문화 예술 디자인 방송,포토샵
15,IT기기 활용을 위한 e-Book과 app-Book,사단법인 한국에듀테크산업협회,28,56700,500,33.3,,08_문화 예술 디자인 방송,
16,[탑강] UX디자인 7가지 비밀,한국이러닝협회,28,212700,500,25.0,,08_문화 예술 디자인 방송,
17,"[원격+집체훈련] 영상 모션 편집(포토샵, 프리미어, 애프터이펙트)",(사)한국디지털컨버전스협회,62,1214560,500,41.0,,08_문화 예술 디자인 방송,포토샵
18,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,56700,500,33.3,,08_문화 예술 디자인 방송,빅데이터
19,시각편집디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,28.0,08_문화 예술 디자인 방송,포토샵
20,"GTQ취득과정(포토샵,일러스트)",세종IT직업전문학교,25,561900,20,66.7,30.0,08_문화 예술 디자인 방송,포토샵
21,웹 드라마 등 영상연출 양성,라온영상예술원학원,105,4808160,22,66.7,38.0,08_문화 예술 디자인 방송,영상
22,게임 그래픽 콘텐츠 디자이너 융합과정,(주)누리마루학원,125,3894370,25,42.3,24.0,08_문화 예술 디자인 방송,게임
23,"영상편집&모션그래픽제작(프리미어,에펙)",더조은컴퓨터학원,30,1348560,20,38.1,29.0,08_문화 예술 디자인 방송,영상
24,"영상편집&모션그래픽제작(프리미어,에펙)",더조은아이티아카데미학원,48,1067610,20,32.9,30.0,08_문화 예술 디자인 방송,영상
25,디지털디자인[포토샵/일러스트레이터]초급자 양성,디앤디컴퓨터학원,40,899040,20,50.0,31.0,08_문화 예술 디자인 방송,포토샵
26,게임그래픽 콘텐츠 제작자 양성,더조은아카데미,80,3987840,20,47.1,26.0,08_문화 예술 디자인 방송,게임
27,디지털디자인 UI/UX 콘텐츠제작,경북산업직업전문학교,112,4270440,25,57.8,28.0,08_문화 예술 디자인 방송,디지털디자인
28,"디지털영상편집디자인(프리미어,에펙)-디지털디자인",주식회사 이젠컴퓨터아카데미,35,1573320,20,60.4,26.0,08_문화 예술 디자인 방송,영상
29,시각디자인GTQ자격취득(일러스트&포토샵),부산더조은직업전문학교,32,899040,20,43.8,,08_문화 예술 디자인 방송,포토샵
30,3D프린팅운용 및 모형설계제작양성과정,성심정보직업전문학교,118,3989490,20,76.5,30.0,08_문화 예술 디자인 방송,
31,코딩을 활용한 디지털웹디자인(UI&UX),이젠컴퓨터아트서비스학원,121,3371400,30,65.2,21.0,08_문화 예술 디자인 방송,웹디자인
32,"시각출판편집디자인(옥외광고, 일러스트,포토샵, 인디자인) 양성과정 J-1",그린컴퓨터아카데미 부산,101,3820920,20,63.4,25.0,08_문화 예술 디자인 방송,포토샵
33,"그래픽디자인입문(포토샵,일러스트)양성",인천구월그린컴퓨터아트학원,24,674280,20,43.2,32.0,08_문화 예술 디자인 방송,포토샵
34,디자인 양성(포토샵+일러스트&그래픽실무),이노직업전문학교,35,786660,20,38.7,45.0,08_문화 예술 디자인 방송,포토샵
35,스마트기기 UI/UX 웹디자인(웹퍼블리셔),이젠아카데미,88,3933300,20,66.7,24.0,08_문화 예술 디자인 방송,웹디자인
36,웹퍼블리셔(UI/UX 반응형 웹디자인)양성과정,강남 그린컴퓨터아카데미,91,3933300,20,66.0,24.0,08_문화 예술 디자인 방송,웹디자인
37,"포토샵&일러스트(기초부터실무)및 GTQ 취득과정(포토샵1급,일러스트1급)",신영진컴퓨터학원,54,899040,10,49.0,29.0,08_문화 예술 디자인 방송,포토샵
38,"디지털디자인(웹디자인, 웹퍼블리셔) 전문가 양성과정",그린컴퓨터아카데미 부천,101,4270440,20,70.5,25.0,08_문화 예술 디자인 방송,웹디자인
39,"시각디자인(일러,포토,인디자인,GTQ자격증,컴퓨터그래픽스(실기))",이젠컴퓨터아트서비스학원,48,1348560,10,47.4,28.0,08_문화 예술 디자인 방송,시각디자인
40,"시각(옥외광고,편집)디자인",영진직업전문학교,98,3820920,25,83.6,29.0,08_문화 예술 디자인 방송,
41,웹디자인(웹퍼블리셔 디지털디자인)양성과정,그린컴퓨터아트학원,129,3933300,20,66.3,26.0,08_문화 예술 디자인 방송,웹디자인
42,"그래픽디자인(포토샵, 일러스트, GTQ1급)기초+활용과정",이젠아카데미컴퓨터학원,30,674280,20,38.5,32.0,08_문화 예술 디자인 방송,포토샵
43,반응형 웹표준디자인 전문가 양성,더조은아카데미,88,3933300,25,56.5,26.0,08_문화 예술 디자인 방송,
44,"영상 제작 (영상기획, 촬영, 영상편집) 양성 훈련 A1",(재)한국아이티교육재단 한국IT아카데미 구로,98,4407480,30,69.2,26.0,08_문화 예술 디자인 방송,영상
45,영상제작,서울방송아카데미,90,3364740,20,62.5,29.0,08_문화 예술 디자인 방송,영상
46,전자상거래 디자인 양성(오픈마켓&쇼핑몰창업),이노직업전문학교,50,1123800,20,38.7,42.0,08_문화 예술 디자인 방송,쇼핑몰
47,IT기기 활용을 위한 e-Book과 app-Book,사단법인 한국에듀테크산업협회,28,62370,500,33.3,,08_문화 예술 디자인 방송,
48,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,31.0,08_문화 예술 디자인 방송,포토샵
49,[탑강] UX디자인 7가지 비밀,한국이러닝협회,28,223770,500,25.0,24.0,08_문화 예술 디자인 방송,
50,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41.0,30.0,08_문화 예술 디자인 방송,포토샵
51,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,,08_문화 예술 디자인 방송,빅데이터
52,웹퍼블리셔(웹디자인)UI/UX프론트앤드양성과정,더조은컴퓨터아트학원,101,4270440,20,66.0,25.0,08_문화 예술 디자인 방송,웹디자인
53,멀티미디어(광고)콘텐츠 실무 양성과정,부산부경직업전문학교,75,3738600,20,43.3,29.0,08_문화 예술 디자인 방송,멀티미디어
54,웹디자인(디지털디자인) 신규구직자 양성과정,그린컴퓨터아트학원,99,3764730,20,51.3,25.0,08_문화 예술 디자인 방송,웹디자인
55,"게임그래픽 디자이너 양성과정 (2D원화,UI,3D)",(주)하우온라인게임스쿨,143,5420970,20,42.0,23.0,08_문화 예술 디자인 방송,게임
56,시각디자인(일러스트&포토샵),더조은퍼스트컴퓨터바리스타학원,25,561900,20,35.2,31.0,08_문화 예술 디자인 방송,포토샵
57,"에코실내건축디자인(캐드,3D MAX,인테리어,스케치업)",이젠아카데미평생교육원,76,3371400,20,83.9,23.0,08_문화 예술 디자인 방송,
58,멀티미디어콘텐츠제작,평택직업전문학교,100,3738600,15,35.0,27.0,08_문화 예술 디자인 방송,멀티미디어
59,"시각디자인(일러스트,포토샵),GTQ자격취득",더조은컴퓨터아트학원,40,899040,20,40.0,26.0,08_문화 예술 디자인 방송,포토샵
60,"멀티미디어콘텐츠제작(프리미어,에프터이펙트,C4D) 크리에이터 과정 (N.07) G",강남 그린컴퓨터아카데미,100,4984800,30,41.4,26.0,08_문화 예술 디자인 방송,멀티미디어
61,스마트기기 UX/UI 디자인,그린컴퓨터아트학원,112,3764730,20,76.9,25.0,08_문화 예술 디자인 방송,
62,게임 프로그래밍 전문가 양성과정,서울게임아트학원,225,4205920,20,50.0,24.0,08_문화 예술 디자인 방송,게임
63,"포토샵&일러스트(기초부터실무)및 GTQ 취득과정(포토샵1급,일러스트1급)",신영진컴퓨터학원,54,899040,10,49.0,28.0,08_문화 예술 디자인 방송,포토샵
64,디지털 UI/UX 웹&앱디자인 양성과정,(주)미래인재개발원,103,4045680,24,23.1,30.0,08_문화 예술 디자인 방송,
65,멀티미디어광고홍보콘텐츠제작A,방송정보국제교육원,108,5296350,25,70.9,25.0,08_문화 예술 디자인 방송,멀티미디어
66,영상미디어콘텐츠제작,방송정보국제교육원,112,5483280,25,70.9,25.0,08_문화 예술 디자인 방송,영상미디어
67,게임그래픽디자이너양성(3D그래픽),부산예일직업전문학교,95,4735560,30,43.7,25.0,08_문화 예술 디자인 방송,게임
68,디자인편집과영상그래픽편집,배움회계캐드컴퓨터학원,50,1123800,10,43.6,25.0,08_문화 예술 디자인 방송,영상
69,인포그래픽(일러스트&포토샵),부산더조은직업전문학교,30,842850,20,43.8,,08_문화 예술 디자인 방송,포토샵
70,모바일 앱 & 웹디자인(웹퍼블리셔),이젠컴퓨터학원,88,3933300,20,61.5,24.0,08_문화 예술 디자인 방송,웹디자인
71,"사진기능사자격증 취득 및 인물,제품사진촬영 및 리터칭과정",서울사진미디어컴퓨터학원,75,2003700,14,43.4,26.0,08_문화 예술 디자인 방송,
72,디지털웹디자인 및 웹퍼블리셔 양성,더조은컴퓨터아트학원,96,3933300,25,74.6,23.0,08_문화 예술 디자인 방송,웹디자인
73,반응형 웹디자인(UI/UX)&퍼블리셔,이지디자인컴퓨터학원,84,2809500,20,70.8,28.0,08_문화 예술 디자인 방송,웹디자인
74,영상을 활용한 UI/UX 웹디자인&웹퍼블리셔,하이미디어아카데미,95,4270440,20,95.2,24.0,08_문화 예술 디자인 방송,웹디자인
75,스마트기기 UXUI 웹디자인&웹퍼블리셔 양성과정A,그린컴퓨터아트학원,104,4270440,20,77.3,25.0,08_문화 예술 디자인 방송,웹디자인
76,스마트웹 디지털디자인,중앙직업전문학교,125,4270440,22,69.1,29.0,08_문화 예술 디자인 방송,디지털디자인
77,"3D마야(MAYA애니메이션, 영상CG, VFX)취업과정",강남 그린컴퓨터아카데미,88,4361700,20,41.4,23.0,08_문화 예술 디자인 방송,영상
78,인터렉티브 웹디자인(스마트기기 UIUX 디자인),이젠컴퓨터아트학원,88,3933300,20,73.8,25.0,08_문화 예술 디자인 방송,웹디자인
79,3D공간디자인,중앙직업전문학교,126,4551390,22,69.1,30.0,08_문화 예술 디자인 방송,
80,멀티미디어콘텐츠제작(스마트웹&앱디자인),라인컴퓨터아트학원,113,5296350,30,65.4,23.0,08_문화 예술 디자인 방송,멀티미디어
81,스마트문화웹콘텐츠(웹퍼블리셔&앱디자인)양성과정,그린컴퓨터아카데미,111,4984800,20,69.0,26.0,08_문화 예술 디자인 방송,
82,온라인게임 운영 및 프로그래밍 제작자 양성과정,아텐츠게임아카데미,143,5346190,30,54.4,24.0,08_문화 예술 디자인 방송,게임
83,반응형웹디자인&웹퍼블리셔 취업과정 D-1,그린컴퓨터아카데미 부산,104,4270440,20,63.4,25.0,08_문화 예술 디자인 방송,웹디자인
84,3D그래픽을 활용한 제품디자인,창원직업전문학교,115,4495200,20,67.9,29.0,08_문화 예술 디자인 방송,
85,"멀티미디어콘텐츠개발(프리미어,에프터이펙트,3D모션그래픽)",부산더조은직업전문학교,100,4984800,20,53.5,28.0,08_문화 예술 디자인 방송,멀티미디어
86,"광고홍보콘텐츠제작(포토샵, 일러스트, 프리미어, 에프터이펙트)",이젠아카데미,52,1620060,20,60.5,24.0,08_문화 예술 디자인 방송,포토샵
87,"광고시각디자이너양성 및 자격증(GTQ, 컴그(실기))취득(일러,포토,인디자인)",이젠컴퓨터아트서비스학원,48,1348560,20,47.4,27.0,08_문화 예술 디자인 방송,
88,"웹디자인(웹퍼블리셔)양성 (HTML5,CSS3,Javascript,jQuery)",더조은퍼스트컴퓨터바리스타학원,50,1123800,20,35.2,26.0,08_문화 예술 디자인 방송,웹디자인
89,3D프린터를 활용한 제품설계디자인,아성직업전문학교,86,3371400,22,81.0,32.0,08_문화 예술 디자인 방송,3D프린터
90,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,34.0,08_문화 예술 디자인 방송,포토샵
91,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,,08_문화 예술 디자인 방송,빅데이터
92,[탑강] UX디자인 7가지 비밀,한국이러닝협회,28,223770,500,25.0,26.0,08_문화 예술 디자인 방송,
93,"방송영상 및 모션그래픽(포토,일러,프리미어,에펙) 제작 전문가 양성",그린컴퓨터아트학원,64,1993920,20,56.4,29.0,08_문화 예술 디자인 방송,영상
94,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41.0,17.0,08_문화 예술 디자인 방송,포토샵
95,"디지털편집디자인(포토샵,일러스트,인디자인,E-BOOK)",더조은퍼스트컴퓨터바리스타학원,50,1123800,20,35.2,36.0,08_문화 예술 디자인 방송,포토샵
96,IT기기 활용을 위한 e-Book과 app-Book,사단법인 한국에듀테크산업협회,28,62370,500,33.3,,08_문화 예술 디자인 방송,
97,스마트 웹디자인,신한양직업전문학교,78,3112920,20,69.2,25.0,08_문화 예술 디자인 방송,웹디자인
98,"[원격+집체훈련] 영상 모션 편집(포토샵, 프리미어, 애프터이펙트)",(사)한국디지털컨버전스협회,62,1298550,500,41.0,,08_문화 예술 디자인 방송,포토샵
99,웹표준과 접근성을 고려한 반응형 웹사이트 제작,(주)탑디자인학원,40,899040,10,55.4,25.0,08_문화 예술 디자인 방송,
100,웹디자인(웹퍼블리셔)프론트앤드실무자양성_C,더조은컴퓨터아카데미,95,4270440,20,61.2,25.0,08_문화 예술 디자인 방송,웹디자인
101,"영상편집(프리미어,에프터이펙트) 전문가 양성",인천 그린컴퓨터아카데미,37,1629510,20,45.5,26.0,08_문화 예술 디자인 방송,영상
102,3D캐릭터애니메이션 마야 양성과정,청시지아카데미학원,24,1007000,10,26.7,24.0,08_문화 예술 디자인 방송,
103,"영상편집(프리미어,에펙)&유튜브크리에이터",더조은컴퓨터학원,24,1067610,20,38.1,31.0,08_문화 예술 디자인 방송,유튜브
104,"웹 기획 및 제작(디자인, html5, css3, javascript)",인천 그린컴퓨터아카데미,112,4984800,20,95.5,25.0,08_문화 예술 디자인 방송,
105,포토샵&영상편집(프리미어/에펙),윤성회계캐드컴퓨터학원,30,674280,15,40.5,31.0,08_문화 예술 디자인 방송,포토샵
106,"멀티미디어&영상편집(모션그래픽,프리미어,에프터이펙트)양성과정 H-1",그린컴퓨터아카데미 부산,114,5296350,20,39.7,26.0,08_문화 예술 디자인 방송,멀티미디어
107,스마트기기 반응형 UI/UX디자인 전문가 양성(디지털디자인),연세직업전문학교,96,4270440,30,62.9,27.0,08_문화 예술 디자인 방송,디지털디자인
108,게임콘텐츠제작자(게임프로그래밍)양성과정B,주식회사경일게임아카데미,109,5420970,20,69.7,24.0,08_문화 예술 디자인 방송,게임
109,스마트기기 UI/UX 웹디자인&웹퍼블리셔 양성과정,하이미디어컴퓨터학원,111,4270440,22,71.4,26.0,08_문화 예술 디자인 방송,웹디자인
110,"포토샵&일러스트(기초부터실무)및 GTQ 취득과정(포토샵1급,일러스트1급)",신영진컴퓨터학원,54,899040,10,49.0,26.0,08_문화 예술 디자인 방송,포토샵
111,게임콘텐츠제작,(주)세종교육,109,5420970,20,86.2,25.0,08_문화 예술 디자인 방송,게임
112,"멀티미디어콘텐츠(촬영, 영상편집, 모션그래픽, UI/UX 디자인)제작 양성 A1",(재)한국아이티교육재단 한국IT아카데미 구로,108,5296350,20,69.5,25.0,08_문화 예술 디자인 방송,멀티미디어
113,3D프린터기반 캐릭터목업제작 양성,비에이치쓰리디(BH3D)조형학원,60,2559500,20,48.3,30.0,08_문화 예술 디자인 방송,3D프린터
114,"모바일 웹 & 앱디자인(웹퍼블리셔,jquery, vue.js)(A)",이젠아카데미평생교육원,90,4045680,20,83.9,24.0,08_문화 예술 디자인 방송,
115,"웹디자인 (디지털디자인,웹퍼블리셔) 구직자 양성과정",그린컴퓨터아트학원 안양,90,3933300,20,63.4,24.0,08_문화 예술 디자인 방송,웹디자인
116,CAD 캐드실무능력평가(CAT) 2급 자격증,남승화직업전문학교,25,561900,15,50.0,30.0,08_문화 예술 디자인 방송,
117,디자인싱킹 활용 디지털디자인(웹디자인&웹퍼블리셔),하이미디어아카데미인재개발원,95,4270440,30,72.9,23.0,08_문화 예술 디자인 방송,웹디자인
118,디자인편집과영상그래픽편집,배움회계캐드컴퓨터학원,50,1123800,10,43.6,,08_문화 예술 디자인 방송,영상
119,쇼핑몰구축과 웹디자인실무,인컴트랜드평생교육원,49,1629510,20,76.3,28.0,08_문화 예술 디자인 방송,웹디자인
120,반응형/웹퍼블리셔/프론트엔드 웹개발자(웹디자인),더휴먼컴퓨터아트아카데미,110,4270440,20,71.4,25.0,08_문화 예술 디자인 방송,웹디자인
121,"3D프린터를 활용한 제품디자인(캐드,맥스,라이노)_B",더조은컴퓨터아카데미,88,3933300,20,61.2,27.0,08_문화 예술 디자인 방송,3D프린터
122,언리얼엔진게임개발자양성(게임기획&프로그래밍) A,재단법인 국제인재능력개발원,109,5420970,28,49.2,24.0,08_문화 예술 디자인 방송,게임
123,디지털디자인(웹디자인/일러스트/포토샵),(주)허브컴퓨터회계아트학원,40,899040,14,45.3,28.0,08_문화 예술 디자인 방송,웹디자인
124,"영상편집(프리미어, 애펙)&스마트앱콘텐츠제작 전문가 양성",더조은아카데미,84,4174770,25,47.1,27.0,08_문화 예술 디자인 방송,영상
125,디지털디자인 UI/UX웹디자인(웹퍼블리셔)취업과정 E-5,그린컴퓨터아카데미 부산,95,4270440,30,63.4,26.0,08_문화 예술 디자인 방송,웹디자인
126,웹&디지털디자인제작과정,한울직업전문학교,109,4270440,25,60.4,24.0,08_문화 예술 디자인 방송,디지털디자인
127,시각편집(포토샵+일러스트+인디자인)GTQ그래픽기술자격증 취득과정,노원 그린컴퓨터아카데미,32,899040,20,53.8,26.0,08_문화 예술 디자인 방송,포토샵
128,스마트기기 UX/UI 웹&앱디자인-디지털디자인,주식회사 이젠컴퓨터아카데미,90,3933300,20,84.6,24.0,08_문화 예술 디자인 방송,디지털디자인
129,UI/UX 반응형 웹디자인&웹퍼블리셔(디자인&코딩) 양성과정 A,그린컴퓨터아카데미,95,4270440,20,66.7,26.0,08_문화 예술 디자인 방송,웹디자인
130,웹디자인(웹퍼블리셔)프론트앤드실무자양성_A,더조은컴퓨터아트학원,95,4270440,20,69.8,25.0,08_문화 예술 디자인 방송,웹디자인
131,"디지털영상편집디자인(프리미어,에펙)",이젠컴퓨터아트학원,53,1573320,20,48.1,32.0,08_문화 예술 디자인 방송,영상
132,게임 2D 캐릭터 제작 및 UI/UX 제작 양성과정,서울게임아트학원,119,2224460,20,51.1,23.0,08_문화 예술 디자인 방송,게임
133,게임 3D그래픽 디자이너 양성과정,서울게임학원,124,2243160,20,58.9,23.0,08_문화 예술 디자인 방송,게임
134,디지털디자인(웹&멀티미디어) 양성,(주)탑디자인학원,40,899040,10,55.4,30.0,08_문화 예술 디자인 방송,멀티미디어
135,웹툰및동화캐릭터일러스트콘텐츠제작,서울일러스트미술학원,40,1495440,15,40.0,29.0,08_문화 예술 디자인 방송,웹툰
136,웹툰 및 게임 2D디자인 제작 양성과정,서울게임아트학원,120,2243160,12,51.1,23.0,08_문화 예술 디자인 방송,게임
137,"디지털영상편집디자인 및 모션그래픽제작(포토샵,일러스트,프리미어,에펙)",(주)울산KH정보교육원,50,1123800,20,35.6,36.0,08_문화 예술 디자인 방송,포토샵
138,"웹퍼블리셔 전문가(html,CSS3,자바스크립트,제이쿼리 )",이젠IT컴퓨터아카데미,95,4270440,20,70.0,26.0,08_문화 예술 디자인 방송,
139,"영상편집&모션그래픽제작(프리미어,에펙)",더조은아이티아카데미학원,38,1067610,20,32.9,38.0,08_문화 예술 디자인 방송,영상
140,디지털디자인 웹퍼블리셔 양성과정,그린컴퓨터아트학원,95,4270440,20,68.4,25.0,08_문화 예술 디자인 방송,디지털디자인
141,색채를 활용한 시각디자인,(재)이찬 경남직업능력개발원,115,4495200,25,61.8,26.0,08_문화 예술 디자인 방송,시각디자인
142,스마트디지털UI/UX앱&웹디자인,더조은컴퓨터학원,95,4270440,20,66.2,25.0,08_문화 예술 디자인 방송,웹디자인
143,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,39.0,08_문화 예술 디자인 방송,포토샵
144,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,,08_문화 예술 디자인 방송,빅데이터
145,[탑강] UX디자인 7가지 비밀,한국이러닝협회,28,223770,500,25.0,46.0,08_문화 예술 디자인 방송,
146,[웹디자인] 포토샵&일러스트 GTQ1급 자격증 취득과정,이젠IT컴퓨터아카데미,30,674280,12,52.5,33.0,08_문화 예술 디자인 방송,웹디자인
147,IT기기 활용을 위한 e-Book과 app-Book,사단법인 한국에듀테크산업협회,28,62370,500,33.3,51.0,08_문화 예술 디자인 방송,
148,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41.0,39.0,08_문화 예술 디자인 방송,포토샵
149,"시각편집디자이너 입문과정(포토샵,일러스트,인디자인)",(주)울산KH정보교육원,40,899040,20,35.6,32.0,08_문화 예술 디자인 방송,포토샵
150,반응형퍼블리싱&웹디자인,(재)부산인재개발원 부산IT교육센터,109,4231100,25,65.0,26.0,08_문화 예술 디자인 방송,웹디자인
151,"멀티미디어 콘텐츠 제작 (프리미어,에프터이펙트,C4D) 전문가 양성과정-A",그린컴퓨터아카데미 신촌,102,4984800,23,70.5,25.0,08_문화 예술 디자인 방송,멀티미디어
152,시각디자인GTQ자격취득(일러스트&포토샵),더조은컴퓨터아트학원,40,899040,20,45.3,27.0,08_문화 예술 디자인 방송,포토샵
153,"GTQ그래픽전문가(포토샵, 일러스트)자격취득 과정",이젠아카데미,20,561900,20,48.0,,08_문화 예술 디자인 방송,포토샵
154,"게임 2D,3D 그래픽 제작 전문가 양성과정",서울게임아카데미부산학원,117,3645130,20,50.0,23.0,08_문화 예술 디자인 방송,게임
155,"영상콘텐츠 제작(영상편집, 모션그래픽, 영상촬영) 실무자 양성 훈련 A1",(재)한국아이티교육재단 한국IT아카데미 구로,98,4407480,30,69.2,26.0,08_문화 예술 디자인 방송,영상
156,디지털디자인 웹디자인/웹퍼블리셔(반응형UI/UX디자인) 양성과정,안산 그린컴퓨터아카데미,90,3933300,20,76.6,23.0,08_문화 예술 디자인 방송,웹디자인
157,(과정평가형)실내건축산업기사 자격취득 과정A,그린컴퓨터아카데미 신촌,93,4439400,20,84.0,25.0,08_문화 예술 디자인 방송,
158,"3D프린터를 활용한 제품디자인(캐드,맥스,라이노) A",더조은컴퓨터아카데미,88,3933300,20,72.2,28.0,08_문화 예술 디자인 방송,3D프린터
159,"그래픽 디자인(포토샵, 일러스트)",대화직업능력개발원,27,899040,10,52.8,28.0,08_문화 예술 디자인 방송,포토샵
160,"GTQ취득과정(포토샵,일러스트)",세종IT직업전문학교,25,561900,20,66.7,28.0,08_문화 예술 디자인 방송,포토샵
161,"시각디자인(일러스트,포토샵)",더조은컴퓨터아트학원,34,758560,20,40.0,28.0,08_문화 예술 디자인 방송,포토샵
162,게임 프로그래밍 취업 정석 과정,(재)한국아이티교육재단 한국IT직업전문학교,125,5420970,20,32.9,26.0,08_문화 예술 디자인 방송,게임
163,"모션그래픽&영상편집(포토샵,프리미어,에프터이펙트)",더조은컴퓨터아트학원,40,1123800,20,40.0,27.0,08_문화 예술 디자인 방송,포토샵
164,마야(MAYA & VFX)3D애니메이션 영상그래픽 전문가,그린컴퓨터아카데미 신촌,107,4361700,20,70.5,24.0,08_문화 예술 디자인 방송,영상
165,웹디자인(웹퍼블리셔)프론트앤드실무자양성 A,인천더조은컴퓨터아트학원,95,4270440,20,70.2,24.0,08_문화 예술 디자인 방송,웹디자인
166,"시각디자인(2D그래픽, 프리미어, 에프터이펙트)영상 광고제작 양성과정",그린컴퓨터아카데미 신촌,39,1067610,20,53.7,26.0,08_문화 예술 디자인 방송,시각디자인
167,게임 3D 프로그래밍 양성과정,서울게임아트학원,120,2243160,20,51.1,25.0,08_문화 예술 디자인 방송,게임
168,디지털디자인(스마트UX/UI 반응형 웹&앱디자인)양성과정,그린컴퓨터아트학원,95,4270440,20,90.0,23.0,08_문화 예술 디자인 방송,디지털디자인
169,웹퍼블리셔(UIUX반응형웹디자인)전문가 양성과정(A),그린컴퓨터아카데미 수원,95,4270440,24,64.2,25.0,08_문화 예술 디자인 방송,웹디자인
170,UI/UX 반응형 웹디자인&웹퍼블리셔(디자인&코딩) 양성과정 (N.02),강남 그린컴퓨터아카데미,95,4270440,20,66.0,25.0,08_문화 예술 디자인 방송,웹디자인
171,게임그래픽전문가 양성B,국제컴퓨터아카데미,90,4486320,30,78.8,24.0,08_문화 예술 디자인 방송,게임
172,맥스(3DMAX)를 활용한 게임콘텐츠&영상디자인 양성과정 (N.02),강남 그린컴퓨터아카데미,97,4797870,20,41.4,25.0,08_문화 예술 디자인 방송,게임
173,"디지털디자인(웹디자인, 웹퍼블리셔) 구직자 양성과정",그린컴퓨터아카데미 부천,115,4270440,20,70.5,24.0,08_문화 예술 디자인 방송,웹디자인
174,"디지털영상편집(프리미어,에펙)과정",그린컴퓨터아카데미 수원,74,1629510,22,45.3,24.0,08_문화 예술 디자인 방송,영상
175,그래픽디자인자격증취득(GTQ-포토샵1/일러스트1급/인디자인1급 ),크린컴퓨터학원,47,872340,10,35.6,30.0,08_문화 예술 디자인 방송,포토샵
176,"그래픽디자인입문(포토샵,일러스트)양성",인천구월그린컴퓨터아트학원,24,674280,20,43.2,26.0,08_문화 예술 디자인 방송,포토샵
177,웹 드라마 등 영상연출 양성,라온영상예술원학원,105,4808160,22,66.7,,08_문화 예술 디자인 방송,영상
