,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
106,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,,서울,구로구,07_사회복지종교,사회복지
107,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,40.0,서울,영등포구,07_사회복지종교,직업상담
108,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,44.0,서울,구로구,07_사회복지종교,직업상담
109,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,40.0,서울,구로구,07_사회복지종교,사회복지
110,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,,서울,구로구,07_사회복지종교,사회복지
111,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
112,아이돌보미 양성,엘림평생교육원,10,248840,14,56.8,56.0,부산,동구,07_사회복지종교,베이비시터
113,직업상담사2급 자격증 취득과정(이론+실기),에듀인능력개발원,40,1028320,20,36.5,47.0,서울,구로구,07_사회복지종교,직업상담
114,직업상담사2급 1차 필기과정,(주)조근혜 부설 대전직업상담사학원,30,706970,15,48.8,40.0,대전,서구,07_사회복지종교,직업상담
115,직업상담사2급 자격증 취득,양산직업학교,70,3306520,30,58.8,38.0,경남,양산시,07_사회복지종교,직업상담
116,"직업상담사 2급 자격증 취득과정(1차,2차 통합)",휴먼평생직업교육학원,45,1156860,18,43.5,37.0,전북,전주시,07_사회복지종교,직업상담
117,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,37.0,인천,남동구,07_사회복지종교,직업상담
118,"【 직업상담사2급 】자격증취득과정_직상2급(1차필기,2차실기)대비",이젠아카데미컴퓨터학원,50,1285400,20,36.6,38.0,경기,성남시,07_사회복지종교,직업상담
119,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,54.0,부산,동구,07_사회복지종교,베이비시터
120,아이돌보미 양성,엘림평생교육원,10,248840,14,56.8,,부산,동구,07_사회복지종교,베이비시터
121,산모신생아 건강관리사 양성,엘림평생교육원,15,373260,12,56.8,,부산,동구,07_사회복지종교,건강관리
122,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,40.0,서울,구로구,07_사회복지종교,직업상담
123,직업상담사 실무과정,(주)조근혜 부설 대전직업상담사학원,18,385620,15,48.8,32.0,대전,서구,07_사회복지종교,직업상담
124,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,43.0,서울,구로구,07_사회복지종교,직업상담
125,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,47.0,서울,구로구,07_사회복지종교,사회복지
126,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,서울,구로구,07_사회복지종교,직업상담
127,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,32.0,서울,구로구,07_사회복지종교,사회복지
128,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,서울,구로구,07_사회복지종교,사회복지
129,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,40.0,서울,영등포구,07_사회복지종교,직업상담
130,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
131,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,27.0,서울,구로구,07_사회복지종교,직업상담
132,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,50.0,서울,구로구,07_사회복지종교,직업상담
133,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,35.0,서울,구로구,07_사회복지종교,사회복지
134,"직업상담사2급 자격증취득과정(1,2차통합)",주안 직업상담사 전문학원,50,1285400,25,31.6,42.0,,,07_사회복지종교,직업상담
135,"직업상담사2급 자격증 취득(2차,실기)",(주)한양능력개발원,19,482020,20,35.1,43.0,경기,고양시,07_사회복지종교,직업상담
136,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,43.0,인천,남동구,07_사회복지종교,직업상담
137,직업상담사 양성과정(자격증취득),미토직업전문학교,51,1285400,24,35.5,40.0,부산,부산진구,07_사회복지종교,직업상담
138,직업상담사 실무과정,(주)조근혜 부설 대전직업상담사학원,15,385620,15,48.8,42.0,대전,서구,07_사회복지종교,직업상담
139,"직업상담사 2급 국가기술자격 취득 과정(1,2차 통합)",씨앤씨직업상담학원,42,1079730,21,40.0,36.0,경기,수원시,07_사회복지종교,직업상담
140,직업상담사2급 자격 취득과정,천안여성인력개발센터,36,925480,24,35.2,39.0,충남,천안시,07_사회복지종교,직업상담
141,직업상담사2급 자격증취득(1차+2차),이젠컴퓨터아트서비스학원,50,1285400,10,31.3,27.0,전북,전주시,07_사회복지종교,직업상담
142,"직업상담사2급자격증취득과정(1차,2차)",현대직업전문학교,40,1028320,20,49.1,32.0,광주,서구,07_사회복지종교,직업상담
143,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,,부산,동구,07_사회복지종교,베이비시터
144,직업상담사 2급 자격증취득과정(필기+실기),(주)울산KH정보교육원,60,1542480,20,32.8,38.0,울산,남구,07_사회복지종교,직업상담
145,2020직업상담사2급취득(1차+2차),원스톱직업학원,45,1156860,28,35.5,39.0,서울,노원구,07_사회복지종교,직업상담
146,직업상담사2급 자격증 취득과정(이론+실기),에듀인능력개발원,40,1028320,20,36.5,34.0,서울,구로구,07_사회복지종교,직업상담
147,"직업상담사 2급 자격증 취득과정(필기, 실기)",다산직업전문학교,50,1285400,20,38.6,39.0,인천,미추홀구,07_사회복지종교,직업상담
148,아이돌보미 양성,엘림평생교육원,10,248840,14,56.8,56.0,부산,동구,07_사회복지종교,베이비시터
149,[과정평가형] 직업상담사2급 자격취득 과정(2020),한국능력개발직업전문학교,80,3239040,20,50.0,32.0,서울,영등포구,07_사회복지종교,직업상담
150,"직업상담사 2급 자격증 취득과정 (1차, 2차)",(주)미래산업교육원 북부직업전문학교,52,1336810,20,39.7,44.0,경기,의정부시,07_사회복지종교,직업상담
151,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,33.0,서울,구로구,07_사회복지종교,사회복지
152,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,41.0,서울,구로구,07_사회복지종교,사회복지
153,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,42.0,서울,구로구,07_사회복지종교,직업상담
154,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,42.0,서울,영등포구,07_사회복지종교,직업상담
155,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,서울,구로구,07_사회복지종교,사회복지
156,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,45.0,서울,구로구,07_사회복지종교,직업상담
157,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,39.0,서울,구로구,07_사회복지종교,직업상담
158,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,33.0,서울,구로구,07_사회복지종교,사회복지
159,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,,서울,구로구,07_사회복지종교,직업상담
160,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
161,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,44.0,서울,구로구,07_사회복지종교,직업상담
162,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,50.0,부산,동구,07_사회복지종교,베이비시터
163,직업상담사2급 자격증 취득(1차 필기),양산직업학교,24,449890,20,58.8,38.0,경남,양산시,07_사회복지종교,직업상담
164,직업상담사2급자격시험 대비반,안산여성인력개발센터,45,1156860,20,44.2,38.0,경기,안산시,07_사회복지종교,직업상담
165,"직업상담사2급(1,2차)취득",서울특별시서부여성발전센터,40,1028320,17,36.4,43.0,서울,양천구,07_사회복지종교,직업상담
166,직업상담사 2급 자격증 취득(필기+실기),은평여성인력개발센터,45,1156860,20,33.7,40.0,서울,은평구,07_사회복지종교,직업상담
167,"직업상담사 2급 자격증 취득과정(1차,2차 통합)",휴먼평생직업교육학원,45,1156860,18,43.5,42.0,전북,전주시,07_사회복지종교,직업상담
168,직업상담사 2급(1차+2차)자격증 취득,종로여성인력개발센터,43,1105440,25,49.0,39.0,서울,종로구,07_사회복지종교,직업상담
169,직업상담사 2급 자격증 취득(1차+2차)종합반,스카우트부설평생교육원,34,1298250,25,43.8,39.0,서울,강남구,07_사회복지종교,직업상담
170,산모신생아 건강관리사 양성,엘림평생교육원,10,373260,12,56.8,54.0,부산,동구,07_사회복지종교,건강관리
171,"직업상담사 2급 자격 취득과정(1차필기, 2차실기 통합반)",영남직업능력개발원,47,1523190,20,43.4,39.0,대구,달서구,07_사회복지종교,직업상담
172,직업상담사2급 1차 필기과정,(주)조근혜 부설 대전직업상담사학원,28,706970,15,48.8,35.0,대전,서구,07_사회복지종교,직업상담
173,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,28.0,서울,구로구,07_사회복지종교,사회복지
174,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,서울,구로구,07_사회복지종교,직업상담
175,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,46.0,서울,구로구,07_사회복지종교,사회복지
176,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,41.0,서울,구로구,07_사회복지종교,직업상담
177,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,51.0,서울,구로구,07_사회복지종교,직업상담
178,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,39.0,서울,구로구,07_사회복지종교,사회복지
179,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,61.0,서울,구로구,07_사회복지종교,사회복지
180,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,39.0,서울,구로구,07_사회복지종교,직업상담
181,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,51.0,서울,구로구,07_사회복지종교,직업상담
182,아이돌보미 양성,엘림평생교육원,10,248840,14,56.8,,부산,동구,07_사회복지종교,베이비시터
183,직업상담사(1차+2차)자격증,윤성회계캐드컴퓨터학원,50,1285400,20,33.3,33.0,대구,북구,07_사회복지종교,직업상담
184,직업상담사2급 취득,주경야독 직업전문학교,43,1388230,30,45.7,38.0,서울,금천구,07_사회복지종교,직업상담
185,(과정평가형자격)직업상담사2급취득과정,현대직업전문학교,89,3603430,20,49.1,39.0,광주,서구,07_사회복지종교,직업상담
186,직업상담사2급 자격증,새동아직업전문학교,34,796940,20,48.3,39.0,부산,사하구,07_사회복지종교,직업상담
