,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
0,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,42,1161380,20,93.8,36.0,인천,부평구,03_금융보험,보험사무원
1,보험총무사무원,부천여성인력개발센터,40,1106080,20,64.3,34.0,경기,부천시,03_금융보험,보험사무원
2,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,31.0,인천,부평구,03_금융보험,보험사무원
3,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,36.0,서울,은평구,03_금융보험,보험사무원
4,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,35.0,인천,부평구,03_금융보험,보험사무원
5,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,34.0,인천,부평구,03_금융보험,보험사무원
6,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
7,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,45.0,서울,구로구,03_금융보험,자산관리사
8,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,36.0,서울,구로구,03_금융보험,자산관리사
9,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,35.0,서울,구로구,03_금융보험,자산관리사
10,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,33.0,인천,부평구,03_금융보험,보험사무원
11,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,39.0,서울,은평구,03_금융보험,보험사무원
12,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,서울,구로구,03_금융보험,자산관리사
13,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,서울,구로구,03_금융보험,자산관리사
14,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,29.0,서울,구로구,03_금융보험,자산관리사
15,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,37.0,인천,부평구,03_금융보험,보험사무원
16,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,서울,구로구,03_금융보험,자산관리사
17,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,35.0,서울,구로구,03_금융보험,자산관리사
18,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,30.0,인천,부평구,03_금융보험,보험사무원
19,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
20,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
21,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
22,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,,서울,은평구,03_금융보험,보험사무원
